id,count
9,4.0
9,6.0
85,4.0
85,15.0
91,19.0
91,4.0
94,7.0
94,8.0
94,24.0
54,4.0
121,14.0
56,8.0
124,6.0
9,4.0
9,4.0
85,4.0
85,13.0
85,17.0
85,4.0
91,6.0
91,8.0
157,11.0
91,5.0
94,20.0
160,14.0
94,4.0
160,20.0
162,9.0
95,20.0
94,21.0
160,44.0
160,4.0
162,4.0
187,4.0
121,11.0
186,4.0
186,4.0
187,6.0
187,4.0
56,9.0
122,19.0
188,12.0
122,11.0
187,7.0
190,5.0
124,14.0
261,7.0
917,14.0
917,4.0
917,4.0
212,554.0
157,4.0
160,12.0
160,8.0
162,4.0
160,6.0
160,6.0
162,6.0
302,6.0
236,7.0
302,5.0
302,39.0
302,8.0
302,4.0
302,4.0
302,4.0
187,4.0
253,4.0
186,15.0
186,15.0
187,4.0
253,5.0
187,84.0
122,48.0
187,6.0
253,8.0
188,6.0
190,4.0
261,67.0
917,6.0
917,4.0
917,4.0
339,4.0
339,4.0
276,6.0
291,12.0
302,4.0
302,18.0
302,13.0
236,8.0
302,4.0
302,39.0
302,4.0
302,4.0
302,9.0
368,72.0
302,4.0
302,10.0
302,22.0
368,8.0
253,8.0
253,8.0
339,6.0
339,4.0
410,8.0
368,52.0
368,7.0
376,129.0
541,6.0
475,20.0
475,14.0
475,4.0
541,25.0
475,56.0
410,8.0
475,10.0
596,4.0
595,73.0
596,92.0
539,23.0
605,34.0
810,15.0
541,12.0
475,12.0
475,20.0
475,4.0
541,39.0
475,61.0
475,30.0
562,4.0
562,118.0
566,4.0
566,26.0
649,8.0
649,4.0
661,6.0
596,13.0
595,6.0
661,37.0
596,4.0
605,6.0
810,10.0
753,16.0
756,5.0
756,5.0
757,4.0
757,5.0
700,15.0
714,4.0
715,10.0
714,16.0
715,6.0
715,4.0
649,4.0
649,5.0
715,39.0
715,9.0
794,17.0
794,20.0
805,6.0
805,4.0
